"S1.bam" "S10.bam" "S11.bam" "S12.bam" "S2.bam" "S3.bam" "S4.bam" "S5.bam" "S6.bam" "S7.bam" "S8.bam" "S9.bam"
"OL67_000181" 421 872 646 862 395 580 402 358 507 411 560 946
"OL67_000182" 106 185 119 151 132 168 123 122 165 245 394 480
"OL67_000183" 4528 336 215 213 2818 3928 189 176 233 2890 4191 6385
"OL67_000184" 266 12 4 6 175 273 11 6 7 143 184 324
"OL67_000185" 489 930 709 707 501 760 510 392 666 537 931 1001
"OL67_000186" 1549 2389 1896 2010 1727 2489 2173 2050 3084 1054 1304 2083
"OL67_000187" 2934 4045 3028 4157 2731 4162 3892 3249 4592 1932 2412 4101
"OL67_000188" 1860 3427 3008 3935 1820 2887 2143 2153 3185 1483 1778 3023
"OL67_000189" 13256 39338 32123 47016 14910 22581 17835 20142 27318 18761 21663 34966
"OL67_000190" 968 15484 16254 31537 1399 1998 2167 1838 2240 6955 9326 9502
"OL67_000191" 606 5613 4475 8976 548 824 971 676 973 1863 2853 2915
"OL67_000192" 298 2802 2225 3612 416 490 549 436 571 1060 1721 1839
"OL67_000193" 354 567 421 483 394 573 472 409 562 271 360 591
"OL67_000194" 2494 3337 2486 4072 3108 4289 3834 3825 4727 1951 2569 4126
"OL67_000195" 298 282 164 409 226 335 174 179 229 115 221 219
"OL67_000196" 70 135 96 118 65 130 77 57 114 66 112 119
"OL67_000197" 239 399 266 319 343 475 514 434 523 300 477 533
"OL67_000198" 248 315 226 340 253 366 355 314 466 243 345 456
"OL67_000199" 137 252 191 268 176 270 235 218 268 186 308 354
"OL67_000200" 80 173 98 95 105 155 147 159 182 104 167 204
"OL67_000201" 250 207 136 215 130 200 177 112 192 143 275 251
"OL67_000202" 33 30 17 16 30 47 37 24 48 18 40 42
"OL67_000203" 42 53 25 18 51 91 67 45 90 37 58 67
"OL67_000204" 28 6 2 12 18 31 20 15 22 10 9 21
"OL67_000205" 48 27 16 20 43 59 50 52 62 11 37 26
"OL67_000206" 120 95 77 83 124 199 110 147 218 69 111 139
"OL67_000207" 113 167 155 309 106 197 167 114 156 156 201 155
"OL67_000208" 209 360 282 458 173 337 224 224 275 234 313 337
"OL67_000209" 1038 58651 56086 120010 851 1382 10749 7772 10668 15485 18384 23665
"OL67_000210" 1166 1154 810 1226 725 870 857 829 954 637 823 1079
"OL67_000212" 286 358 218 203 301 411 334 329 409 137 223 307
"OL67_000213" 1677 1236 1343 1938 1667 3046 2282 1902 2049 1367 1696 1818
"OL67_000214" 643 395 376 572 543 925 920 584 818 384 496 594
"OL67_000215" 566 375 326 283 560 926 923 640 804 410 515 633
"OL67_000216" 1164 673 513 686 968 1478 1255 1076 1424 594 800 1108
"OL67_000217" 958 377 257 434 658 1050 721 653 978 346 370 616
"OL67_000218" 140 169 103 147 138 163 126 152 171 98 117 171
"OL67_000219" 1769 1456 1028 1403 1297 2001 1753 1532 2028 1192 1368 2200
"OL67_000220" 631 424 330 381 433 789 508 509 701 290 395 573
"OL67_000221" 8406 6066 4177 6276 5558 7530 6157 5833 8290 5164 7582 9175
"OL67_000222" 63 166 98 107 96 164 103 109 167 148 223 281
"OL67_000223" 378 535 346 433 353 455 457 363 517 562 819 1132
"OL67_000224" 30 39 26 14 26 40 21 33 47 112 223 243
"OL67_000225" 724 1479 1217 1581 851 1240 1429 1332 1732 994 1435 2089
"OL67_000226" 361 802 591 468 404 691 776 600 908 592 930 1085
"OL67_000227" 1759 1848 1536 2598 1097 1787 1383 938 1559 1461 2305 2787
"OL67_000228" 1586 854 574 990 878 1228 898 699 1268 982 1454 1796
"OL67_000229" 436 824 571 547 464 750 482 464 703 344 421 808
"OL67_000230" 1653 1976 1413 1519 1553 2266 1863 1785 2664 1026 1546 1991
"OL67_000231" 1011 526 460 766 621 1060 806 663 896 424 600 870
"OL67_000232" 176 61 30 32 89 103 82 102 81 52 69 97
"OL67_000233" 377 355 176 211 379 567 413 386 546 196 297 463
"OL67_000234" 839 709 502 616 789 1084 724 888 1233 419 580 920
"OL67_000235" 2670 2153 1578 2117 2565 3788 2826 2702 3883 1259 1648 2564
"OL67_000236" 663 522 385 488 607 751 687 665 829 376 539 693
"OL67_000237" 583 825 599 848 581 875 698 550 812 615 1054 1168
"OL67_000238" 625 597 453 678 587 915 596 578 773 489 803 939
"OL67_000239" 339 324 247 408 322 472 276 288 416 249 420 483
"OL67_000240" 7007 7898 5815 8921 5726 8094 6649 6396 7953 5218 6478 9741
"OL67_000241" 2310 813 640 502 1222 2019 1455 1009 2048 549 642 1049
"OL67_000242" 302 1585 1260 1654 239 305 292 366 543 2536 4784 5243
"OL67_000243" 867 536 444 622 562 934 670 598 946 373 453 641
"OL67_000244" 1980 1049 775 1119 1484 2405 1808 1606 2376 847 893 1565
"OL67_000245" 268 231 133 155 273 326 403 240 434 151 141 279
"OL67_000246" 456 328 218 201 437 675 603 430 711 249 293 423
"OL67_000247" 1737 1184 891 1350 1363 2126 1554 1498 2265 912 1063 1777
"OL67_000248" 745 881 621 800 705 1027 883 699 994 539 727 989
"OL67_000249" 609 507 398 705 443 787 618 483 633 379 510 727
"OL67_000250" 732 1306 931 1887 394 557 487 391 490 938 1776 1855
"OL67_000251" 840 1562 1173 2204 519 810 677 492 732 1298 2170 2220
"OL67_000252" 203 222 145 158 202 282 261 205 248 139 150 279
"OL67_000253" 498 838 693 900 681 949 565 596 851 591 785 1244
"OL67_000254" 301 660 429 624 420 551 489 391 558 494 770 828
"OL67_000255" 519 383 305 519 389 647 485 416 585 236 314 515
"OL67_000256" 359 299 222 408 280 486 376 318 446 362 484 571
"OL67_000257" 185 101 79 126 82 158 139 101 161 91 150 186
"OL67_000258" 434 905 601 444 385 559 526 397 543 624 980 1129
"OL67_000259" 262 154 84 62 130 193 144 109 164 105 172 250
"OL67_000260" 343 1278 906 506 691 1172 617 841 1145 748 834 1321
"OL67_000261" 1679 2074 1787 2605 1648 2540 1676 1830 2416 1588 1849 3133
"OL67_000262" 116 204 132 106 155 285 168 154 252 114 170 231
"OL67_000263" 490 464 350 491 492 718 561 444 715 261 353 582
"OL67_000264" 254 353 238 424 216 299 274 231 276 226 339 396
"OL67_000265" 528 517 370 682 383 558 462 407 499 347 378 582
"OL67_000266" 408 279 211 274 246 327 288 239 310 169 198 320
"OL67_000267" 331 285 161 264 264 370 350 256 365 143 201 247
"OL67_000268" 582 478 350 398 422 578 539 450 585 300 386 534
"OL67_000269" 1555 1427 1097 1500 1388 2021 1739 1411 1888 821 1113 1678
"OL67_000270" 1301 1578 1169 1411 1565 2364 1843 1711 2246 1035 1225 2159
"OL67_000271" 17 226 184 241 35 41 27 38 39 42 87 94
"OL67_000272" 25 465 330 346 45 47 40 34 56 85 153 151
"OL67_000273" 163 1324 910 893 145 163 200 208 266 282 422 531
"OL67_000274" 3250 5668 3999 5473 3191 4607 3500 3369 4708 3309 4677 6297
"OL67_000275" 975 853 648 1081 858 1247 1128 873 1176 691 1085 1202
"OL67_000276" 271 96 51 112 226 301 241 271 289 81 156 191
"OL67_000277" 1034 742 681 1198 1038 1744 1274 1186 1494 842 871 1417
"OL67_000278" 333 210 105 146 195 318 273 176 301 105 138 169
"OL67_000279" 1068 7412 5270 2357 4514 5659 4567 5264 5650 3363 5544 7951
"OL67_000280" 240 179 130 129 183 285 186 222 315 71 126 170
"OL67_000281" 151 204 139 202 203 301 255 218 299 113 155 195
"OL67_000282" 31 2723 1632 1671 47 60 86 78 96 60 110 141
"OL67_000283" 3403 10817 9004 17311 4025 5495 7282 7654 9064 4113 5397 8336
"OL67_000284" 10398 16930 14140 18449 12616 17966 15317 15155 18364 11606 14896 21206
"OL67_000285" 1132 1950 1295 1439 1249 1678 2480 1939 2506 674 858 1410
"OL67_000286" 68 236 157 221 104 126 97 109 119 221 378 408
"OL67_000287" 43 97 94 115 51 70 51 53 68 91 146 172
"OL67_000288" 772 1015 730 1047 821 1078 799 781 1061 1303 1985 2474
"OL67_000289" 2362 1734 1252 2393 1651 2611 2065 1774 2656 1466 1961 2723
"OL67_000290" 162 299 256 264 125 199 160 121 231 117 194 260
"OL67_000291" 1455 1322 920 1192 1063 1668 1439 1230 1734 814 950 1527
"OL67_000292" 1862 2082 1477 2790 1201 1740 1418 1214 1647 982 1546 2117
"OL67_000293" 417 823 620 996 440 641 528 442 672 428 576 846
"OL67_000294" 171 194 114 158 139 271 193 157 214 107 165 250
"OL67_000295" 761 550 416 698 515 870 630 564 748 365 482 660
"OL67_000296" 471 416 399 296 555 811 697 570 805 371 494 700
"OL67_000297" 244 192 133 150 240 314 264 277 343 137 181 278
"OL67_000298" 304 234 147 194 270 375 345 302 403 173 241 394
"OL67_000299" 6660 7285 5015 5843 6123 8412 7518 7678 10324 4361 5789 8642
"OL67_000300" 505 601 537 673 460 698 693 656 873 287 390 625
"OL67_000301" 604 920 769 555 666 1020 999 981 1259 402 542 780
"OL67_000302" 861 1336 1336 886 872 1446 1204 1061 1474 786 974 1259
"OL67_000303" 7976 10186 9934 18294 5384 8059 6740 6340 7995 5171 6756 8760
"OL67_000304" 9093 19006 16441 20688 9217 13743 12560 10683 13857 8732 11563 16657
"OL67_000305" 7904 20039 18100 29541 7270 11477 10061 8329 11274 8075 10420 14284
"OL67_000306" 1958 3792 3401 4303 1524 2376 1972 1752 2439 1586 2498 2668
"OL67_000307" 8914 23651 20037 37065 7960 11419 8919 9451 12648 8701 12720 15145
"OL67_000308" 23790 14047 9821 15818 16722 24491 21014 18947 27950 11489 14773 23866
"OL67_000309" 183 690 502 592 218 305 301 236 320 142 234 326
"OL67_000310" 185 3491 2828 3891 341 435 446 483 588 342 360 794
"OL67_000311" 65 51 35 56 44 99 105 48 102 35 73 76
"OL67_000312" 583 419 331 466 492 826 609 437 654 361 481 719
"OL67_000313" 497 281 190 301 353 574 377 342 468 248 353 493
"OL67_000314" 916 636 392 635 617 971 819 636 958 397 572 834
"OL67_000315" 62 65 27 37 74 86 63 84 94 37 37 73
"OL67_000316" 76 176 139 97 76 115 103 90 121 95 115 166
"OL67_000317" 2197 2848 1757 1983 2240 3211 1999 2010 3138 1916 2665 4011
"OL67_000318" 1046 1604 1116 1294 1311 2055 1756 1153 1771 1335 1707 2452
"OL67_000319" 9016 7610 5603 8361 6768 10959 6698 6110 9059 6506 8786 12035
"OL67_000320" 2205 1466 890 1250 1511 2377 1615 1322 2066 951 1511 1818
"OL67_000321" 145 239 159 232 233 383 290 216 276 112 195 305
"OL67_000322" 4327 2798 1615 1229 3609 5643 3613 2942 4523 3079 4072 6041
"OL67_000323" 138 11558 6392 6191 223 261 218 243 295 1152 1478 2276
"OL67_000324" 3744 6342 4698 5287 3203 4441 3584 3033 5001 2666 3022 5814
"OL67_000325" 702 976 722 829 730 980 816 734 955 468 572 1025
"OL67_000326" 2662 160 103 70 3172 4673 102 93 119 1102 1457 2338
"OL67_000327" 2750 656 510 354 3115 3906 1138 853 1337 1262 1466 2439
"OL67_000328" 369 611 445 495 425 596 672 631 851 326 386 583
"OL67_000329" 122 172 155 111 139 256 275 184 237 93 104 181
"OL67_000330" 883 1030 664 757 881 1250 1206 1226 1494 530 728 1080
"OL67_000331" 1246 1236 730 587 1492 2024 1515 1457 2372 706 947 1329
